page_id,url,slug,persona,tier,final_score,brand_health_index,trust_gap,audited_ts
fe8eb8c2,https://www.soprasteria.nl/newsroom/blog/details/ecosystems-yes-please-but-how-can-we-trust-each-other,wwwsoprasterianlnewsroomblogdetailsecosystems-yes-please-but-how-can-we-trust-each-other,The Benelux Cybersecurity Decision Maker,Thought Leadership Blog / Insights Page  ,6.8,6.08,0.4,2025-06-22 10:46:45
7f942435,https://www.linkedin.com/company/soprasteria-benelux/,wwwlinkedincomcompanysoprasteria-benelux,The Benelux Cybersecurity Decision Maker,LinkedIn Company Profile Page (Unavailable/Error Page)  ,0.0,2.0,1.0,2025-06-22 10:47:16
97b9dedf,https://www.soprasteria.com/,wwwsoprasteriacom,The Benelux Cybersecurity Decision Maker,Corporate Homepage / Brand Introduction  ,6.4,5.84,0.3,2025-06-22 10:41:13
8fe8ea84,https://www.soprasteria.be/whatwedo/management-digital-transformation-consulting/services-operations-automation,wwwsoprasteriabewhatwedomanagement-digital-transformation-consultingservices-operations-automation,The Benelux Cybersecurity Decision Maker,Services Overview / Consulting Practice Page  ,5.8,5.48,0.5,2025-06-22 10:43:22
4fb3c324,https://www.soprasteria.nl/newsroom/press-releases/details/welcome-to-the-future-of-innovation,wwwsoprasterianlnewsroompress-releasesdetailswelcome-to-the-future-of-innovation,The Benelux Cybersecurity Decision Maker,Press Release / Corporate Newsroom Page  ,5.6,5.36,0.5,2025-06-22 10:44:50  
bda8940b,https://www.nldigital.nl/leden/sopra-steria-nederland-b-v/,wwwnldigitalnlledensopra-steria-nederland-b-v,The Benelux Cybersecurity Decision Maker,Member Profile / Corporate Overview Page  ,5.5,5.3,0.4,2025-06-22 10:48:27  
6be18313,https://www.soprasteria.nl/newsroom/blog,wwwsoprasterianlnewsroomblog,The Benelux Cybersecurity Decision Maker,Thought Leadership Blog / Insights Hub  ,7.0,6.2,0.5,2025-06-22 10:45:44
51dceb19,https://www.soprasteria.com/about-us/history,wwwsoprasteriacomabout-ushistory,The Benelux Cybersecurity Decision Maker,Corporate About Us / Brand History Page  ,5.8,5.48,0.4,2025-06-22 10:42:00
58559e0e,https://www.soprasteria.be/,wwwsoprasteriabe,The Benelux Cybersecurity Decision Maker,Corporate Homepage / Corporate Services Overview  ,7.2,6.32,0.3,2025-06-22 10:40:45
ce6ef35e,https://www.soprasteria.be/whatwedo/data-ai/data-science-and-ai/the-future-of-generative-ai,wwwsoprasteriabewhatwedodata-aidata-science-and-aithe-future-of-generative-ai,The Benelux Cybersecurity Decision Maker,Thought Leadership / Insights Page  ,6.8,6.08,0.4,2025-06-22 10:42:27
b53c7bea,https://www.soprasteria.be/industries/industry-retail-logistics-telecom-media,wwwsoprasteriabeindustriesindustry-retail-logistics-telecom-media,The Benelux Cybersecurity Decision Maker,Industry Solutions Landing Page (Sector-specific overview page targeting multiple industries)  ,6.4,5.84,0.5,2025-06-22 10:44:21
4b79a42a,https://www.youtube.com/@SopraSteria_Benelux,wwwyoutubecomSopraSteria_Benelux,The Benelux Cybersecurity Decision Maker,YouTube Brand Channel Landing Page (Cookie Consent Gate)  ,2.6,3.56,0.7,2025-06-22 10:47:35
d83b69a8,https://www.soprasteria.nl/newsroom/press-releases/details/sopra-steria-next-predicts,wwwsoprasterianlnewsroompress-releasesdetailssopra-steria-next-predicts,The Benelux Cybersecurity Decision Maker,Press Release / Thought Leadership Insight  ,6.6,5.96,0.3,2025-06-22 10:45:15
ad80a76c,https://www.soprasteria.nl/,wwwsoprasterianl,The Benelux Cybersecurity Decision Maker,Corporate Homepage / Corporate Brand & Services Overview  ,7.4,6.44,0.2,2025-06-22 10:40:14
f52cdbdc,https://www.soprasteria.nl/newsroom/blog/details/interacting-with-large-language-models,wwwsoprasterianlnewsroomblogdetailsinteracting-with-large-language-models,The Benelux Cybersecurity Decision Maker,Thought Leadership Blog Article  ,5.8,5.48,0.5,2025-06-22 10:46:10
cded0b85,https://www.soprasteria.be/whatwedo/digital-themes/deliver-flexible-always-on-performance/cloud-infrastructure-platforms/sopra-steria-transformation-services-for-microsoft-azure,wwwsoprasteriabewhatwedodigital-themesdeliver-flexible-always-on-performancecloud-infrastructure-platformssopra-steria-transformation-services-for-microsoft-azure,The Benelux Cybersecurity Decision Maker,Service Offering / Solution Detail Page  ,7.2,6.32,0.3,2025-06-22 10:42:52
624753c4,https://www.soprasteria.be/industries/financial-services,wwwsoprasteriabeindustriesfinancial-services,The Benelux Cybersecurity Decision Maker,Industry Solutions Landing Page (Financial Services Sector)  ,7.4,6.44,0.4,2025-06-22 10:43:47  
2aa6d30b,https://www.soprasteria.com/about-us/corporate-responsibility,wwwsoprasteriacomabout-uscorporate-responsibility,The Benelux Cybersecurity Decision Maker,Corporate Responsibility / ESG Branding Page  ,5.8,5.48,0.4,2025-06-22 10:41:34
