page_id,url,slug,persona,tier,final_score,brand_health_index,trust_gap,audited_ts
fe8eb8c2,https://www.soprasteria.nl/newsroom/blog/details/ecosystems-yes-please-but-how-can-we-trust-each-other,wwwsoprasterianlnewsroomblogdetailsecosystems-yes-please-but-how-can-we-trust-each-other,The Benelux Strategic Business Leader (C-Suite Executive),Thought Leadership Blog / Insights Page  ,7.4,6.44,0.2,2025-06-22 09:45:25
7f942435,https://www.linkedin.com/company/soprasteria-benelux/,wwwlinkedincomcompanysoprasteria-benelux,The Benelux Strategic Business Leader (C-Suite Executive),Corporate Social Media Profile (LinkedIn Company Page)  ,1.0,2.6,1.0,2025-06-22 09:45:58
97b9dedf,https://www.soprasteria.com/,wwwsoprasteriacom,The Benelux Strategic Business Leader (C-Suite Executive),Corporate Homepage / Corporate Brand & Investor Relations Channel  ,7.0,6.2,0.2,2025-06-22 09:38:13
8fe8ea84,https://www.soprasteria.be/whatwedo/management-digital-transformation-consulting/services-operations-automation,wwwsoprasteriabewhatwedomanagement-digital-transformation-consultingservices-operations-automation,The Benelux Strategic Business Leader (C-Suite Executive),Services Offering / Consulting Solutions Page  ,6.6,5.96,0.4,2025-06-22 09:41:13
4fb3c324,https://www.soprasteria.nl/newsroom/press-releases/details/welcome-to-the-future-of-innovation,wwwsoprasterianlnewsroompress-releasesdetailswelcome-to-the-future-of-innovation,The Benelux Strategic Business Leader (C-Suite Executive),Press Release / Corporate Newsroom Page  ,5.8,5.48,0.4,2025-06-22 09:43:15
bda8940b,https://www.nldigital.nl/leden/sopra-steria-nederland-b-v/,wwwnldigitalnlledensopra-steria-nederland-b-v,The Benelux Strategic Business Leader (C-Suite Executive),Corporate Member Profile / Partner Showcase Page  ,5.6,5.36,0.3,2025-06-22 09:47:22
6be18313,https://www.soprasteria.nl/newsroom/blog,wwwsoprasterianlnewsroomblog,The Benelux Strategic Business Leader (C-Suite Executive),Thought Leadership / Insights Blog  ,7.0,6.2,0.3,2025-06-22 09:44:13
51dceb19,https://www.soprasteria.com/about-us/history,wwwsoprasteriacomabout-ushistory,The Benelux Strategic Business Leader (C-Suite Executive),Corporate About Us / Brand History Page  ,6.8,6.08,0.2,2025-06-22 09:39:20
58559e0e,https://www.soprasteria.be/,wwwsoprasteriabe,The Benelux Strategic Business Leader (C-Suite Executive),Corporate Homepage / Regional Brand Presence  ,7.4,6.44,0.2,2025-06-22 09:37:43
ce6ef35e,https://www.soprasteria.be/whatwedo/data-ai/data-science-and-ai/the-future-of-generative-ai,wwwsoprasteriabewhatwedodata-aidata-science-and-aithe-future-of-generative-ai,The Benelux Strategic Business Leader (C-Suite Executive),Thought Leadership / Strategic Insights Page  ,7.4,6.44,0.3,2025-06-22 09:40:01
b53c7bea,https://www.soprasteria.be/industries/industry-retail-logistics-telecom-media,wwwsoprasteriabeindustriesindustry-retail-logistics-telecom-media,The Benelux Strategic Business Leader (C-Suite Executive),Industry Solutions Landing Page / Corporate Brand & Solutions Overview  ,7.0,6.2,0.5,2025-06-22 09:42:29
4b79a42a,https://www.youtube.com/@SopraSteria_Benelux,wwwyoutubecomSopraSteria_Benelux,The Benelux Strategic Business Leader (C-Suite Executive),Corporate YouTube Channel Landing Page  ,3.6,4.16,0.5,2025-06-22 09:46:22
d83b69a8,https://www.soprasteria.nl/newsroom/press-releases/details/sopra-steria-next-predicts,wwwsoprasterianlnewsroompress-releasesdetailssopra-steria-next-predicts,The Benelux Strategic Business Leader (C-Suite Executive),Press Release / Thought Leadership Insight Page  ,7.4,6.44,0.3,2025-06-22 09:43:41
ad80a76c,https://www.soprasteria.nl/,wwwsoprasterianl,The Benelux Strategic Business Leader (C-Suite Executive),Corporate Homepage / Regional Brand Site (Benelux)  ,7.4,6.44,0.2,2025-06-22 09:37:07
f52cdbdc,https://www.soprasteria.nl/newsroom/blog/details/interacting-with-large-language-models,wwwsoprasterianlnewsroomblogdetailsinteracting-with-large-language-models,The Benelux Strategic Business Leader (C-Suite Executive),Thought Leadership Blog / Insights Page  ,6.4,5.84,0.5,2025-06-22 09:44:48
cded0b85,https://www.soprasteria.be/whatwedo/digital-themes/deliver-flexible-always-on-performance/cloud-infrastructure-platforms/sopra-steria-transformation-services-for-microsoft-azure,wwwsoprasteriabewhatwedodigital-themesdeliver-flexible-always-on-performancecloud-infrastructure-platformssopra-steria-transformation-services-for-microsoft-azure,The Benelux Strategic Business Leader (C-Suite Executive),Service Offering / Solution Detail Page  ,7.4,6.44,0.3,2025-06-22 09:40:39
624753c4,https://www.soprasteria.be/industries/financial-services,wwwsoprasteriabeindustriesfinancial-services,The Benelux Strategic Business Leader (C-Suite Executive),Industry Solutions / Corporate Website - Financial Services Sector Page  ,7.2,6.32,0.4,2025-06-22 09:41:45
2aa6d30b,https://www.soprasteria.com/about-us/corporate-responsibility,wwwsoprasteriacomabout-uscorporate-responsibility,The Benelux Strategic Business Leader (C-Suite Executive),Corporate Website – Corporate Responsibility / ESG Section  ,7.2,6.32,0.3,2025-06-22 09:38:46
