page_id,url,slug,persona,tier,final_score,brand_health_index,trust_gap,audited_ts
fe8eb8c2,https://www.soprasteria.nl/newsroom/blog/details/ecosystems-yes-please-but-how-can-we-trust-each-other,wwwsoprasterianlnewsroomblogdetailsecosystems-yes-please-but-how-can-we-trust-each-other,The Benelux Transformation Programme Leader,Thought Leadership Blog / Insights Page  ,7.0,6.2,0.2,2025-06-22 10:03:43
7f942435,https://www.linkedin.com/company/soprasteria-benelux/,wwwlinkedincomcompanysoprasteria-benelux,The Benelux Transformation Programme Leader,Corporate LinkedIn Company Page  ,0.0,2.0,1.0,2025-06-22 10:04:29
97b9dedf,https://www.soprasteria.com/,wwwsoprasteriacom,The Benelux Transformation Programme Leader,Corporate Homepage / Brand Awareness & Lead Generation  ,6.4,5.84,0.3,2025-06-22 09:56:26
8fe8ea84,https://www.soprasteria.be/whatwedo/management-digital-transformation-consulting/services-operations-automation,wwwsoprasteriabewhatwedomanagement-digital-transformation-consultingservices-operations-automation,The Benelux Transformation Programme Leader,Services Offering / Consulting Solutions Page  ,6.6,5.96,0.3,2025-06-22 09:59:26
4fb3c324,https://www.soprasteria.nl/newsroom/press-releases/details/welcome-to-the-future-of-innovation,wwwsoprasterianlnewsroompress-releasesdetailswelcome-to-the-future-of-innovation,The Benelux Transformation Programme Leader,Corporate Press Release / Thought Leadership Announcement  ,5.8,5.48,0.5,2025-06-22 10:01:15
bda8940b,https://www.nldigital.nl/leden/sopra-steria-nederland-b-v/,wwwnldigitalnlledensopra-steria-nederland-b-v,The Benelux Transformation Programme Leader,Member Profile / Corporate Overview Page on Industry Association Website  ,5.5,5.3,0.5,2025-06-22 10:05:53
6be18313,https://www.soprasteria.nl/newsroom/blog,wwwsoprasterianlnewsroomblog,The Benelux Transformation Programme Leader,Thought Leadership / Insights Blog  ,7.0,6.2,0.3,2025-06-22 10:02:27
51dceb19,https://www.soprasteria.com/about-us/history,wwwsoprasteriacomabout-ushistory,The Benelux Transformation Programme Leader,Corporate Brand / About Us / History Page  ,6.8,6.08,0.3,2025-06-22 09:57:29
58559e0e,https://www.soprasteria.be/,wwwsoprasteriabe,The Benelux Transformation Programme Leader,Corporate Homepage / Corporate Brand & Services Overview  ,7.0,6.2,0.3,2025-06-22 09:55:55
ce6ef35e,https://www.soprasteria.be/whatwedo/data-ai/data-science-and-ai/the-future-of-generative-ai,wwwsoprasteriabewhatwedodata-aidata-science-and-aithe-future-of-generative-ai,The Benelux Transformation Programme Leader,Thought Leadership / Insight Report Landing Page  ,7.2,6.32,0.4,2025-06-22 09:58:10
b53c7bea,https://www.soprasteria.be/industries/industry-retail-logistics-telecom-media,wwwsoprasteriabeindustriesindustry-retail-logistics-telecom-media,The Benelux Transformation Programme Leader,Industry Solutions / Transformation Consulting Landing Page  ,7.2,6.32,0.4,2025-06-22 10:00:27
4b79a42a,https://www.youtube.com/@SopraSteria_Benelux,wwwyoutubecomSopraSteria_Benelux,The Benelux Transformation Programme Leader,Corporate YouTube Channel Landing Page (Third-party platform)  ,3.6,4.16,0.6,2025-06-22 10:04:54
d83b69a8,https://www.soprasteria.nl/newsroom/press-releases/details/sopra-steria-next-predicts,wwwsoprasterianlnewsroompress-releasesdetailssopra-steria-next-predicts,The Benelux Transformation Programme Leader,Press Release / Thought Leadership Insight  ,7.2,6.32,0.3,2025-06-22 10:01:50
ad80a76c,https://www.soprasteria.nl/,wwwsoprasterianl,The Benelux Transformation Programme Leader,Corporate Homepage / Brand & Services Overview  ,7.4,6.44,0.2,2025-06-22 09:55:18
f52cdbdc,https://www.soprasteria.nl/newsroom/blog/details/interacting-with-large-language-models,wwwsoprasterianlnewsroomblogdetailsinteracting-with-large-language-models,The Benelux Transformation Programme Leader,Thought Leadership Blog Article / Insights Page  ,6.8,6.08,0.4,2025-06-22 10:03:11
cded0b85,https://www.soprasteria.be/whatwedo/digital-themes/deliver-flexible-always-on-performance/cloud-infrastructure-platforms/sopra-steria-transformation-services-for-microsoft-azure,wwwsoprasteriabewhatwedodigital-themesdeliver-flexible-always-on-performancecloud-infrastructure-platformssopra-steria-transformation-services-for-microsoft-azure,The Benelux Transformation Programme Leader,Services Offering / Solution Overview Page  ,7.4,6.44,0.2,2025-06-22 09:58:38
624753c4,https://www.soprasteria.be/industries/financial-services,wwwsoprasteriabeindustriesfinancial-services,The Benelux Transformation Programme Leader,Industry Solutions / Corporate Website - Sector-Specific Landing Page  ,7.2,6.32,0.3,2025-06-22 09:59:51
2aa6d30b,https://www.soprasteria.com/about-us/corporate-responsibility,wwwsoprasteriacomabout-uscorporate-responsibility,The Benelux Transformation Programme Leader,Corporate Website - Corporate Responsibility / ESG Section  ,6.8,6.08,0.3,2025-06-22 09:56:52
