page_id,url,slug,persona,tier,final_score,brand_health_index,trust_gap,audited_ts
fe8eb8c2,https://www.soprasteria.nl/newsroom/blog/details/ecosystems-yes-please-but-how-can-we-trust-each-other,wwwsoprasterianlnewsroomblogdetailsecosystems-yes-please-but-how-can-we-trust-each-other,The Technical Influencer,Thought Leadership Blog / Insights Page  ,7.2,6.32,0.2,2025-06-22 12:45:35
7f942435,https://www.linkedin.com/company/soprasteria-benelux/,wwwlinkedincomcompanysoprasteria-benelux,The Technical Influencer,Corporate Social Media Profile Page (LinkedIn Company Page)  ,0.0,2.0,1.0,2025-06-22 12:46:13
97b9dedf,https://www.soprasteria.com/,wwwsoprasteriacom,The Technical Influencer,Corporate Homepage / B2B Technology Services Provider  ,7.0,6.2,0.3,2025-06-22 12:37:51
8fe8ea84,https://www.soprasteria.be/whatwedo/management-digital-transformation-consulting/services-operations-automation,wwwsoprasteriabewhatwedomanagement-digital-transformation-consultingservices-operations-automation,The Technical Influencer,Services Offering / Consulting Solutions Page  ,6.8,6.08,0.5,2025-06-22 12:41:08
4fb3c324,https://www.soprasteria.nl/newsroom/press-releases/details/welcome-to-the-future-of-innovation,wwwsoprasterianlnewsroompress-releasesdetailswelcome-to-the-future-of-innovation,The Technical Influencer,Press Release / Corporate Newsroom Page  ,5.8,5.48,0.5,2025-06-22 12:42:47
bda8940b,https://www.nldigital.nl/leden/sopra-steria-nederland-b-v/,wwwnldigitalnlledensopra-steria-nederland-b-v,The Technical Influencer,Corporate Member Profile / Partner Showcase Page  ,5.8,5.48,0.4,2025-06-22 12:47:46
6be18313,https://www.soprasteria.nl/newsroom/blog,wwwsoprasterianlnewsroomblog,The Technical Influencer,Thought Leadership / Insights Blog  ,7.2,6.32,0.2,2025-06-22 12:44:12
51dceb19,https://www.soprasteria.com/about-us/history,wwwsoprasteriacomabout-ushistory,The Technical Influencer,Corporate About Us / Brand History Page  ,6.6,5.96,0.3,2025-06-22 12:39:05
58559e0e,https://www.soprasteria.be/,wwwsoprasteriabe,The Technical Influencer,Corporate Homepage / Solutions Overview  ,7.4,6.44,0.2,2025-06-22 12:37:10
ce6ef35e,https://www.soprasteria.be/whatwedo/data-ai/data-science-and-ai/the-future-of-generative-ai,wwwsoprasteriabewhatwedodata-aidata-science-and-aithe-future-of-generative-ai,The Technical Influencer,Thought Leadership / Solutions Insight Page  ,7.2,6.32,0.4,2025-06-22 12:39:41
b53c7bea,https://www.soprasteria.be/industries/industry-retail-logistics-telecom-media,wwwsoprasteriabeindustriesindustry-retail-logistics-telecom-media,The Technical Influencer,Industry Solutions / Sector Landing Page  ,7.2,6.32,0.4,2025-06-22 12:42:13
4b79a42a,https://www.youtube.com/@SopraSteria_Benelux,wwwyoutubecomSopraSteria_Benelux,The Technical Influencer,YouTube Channel Landing Page (Redirect/Interstitial Cookie Consent Page)  ,1.4,2.84,0.8,2025-06-22 12:46:41
d83b69a8,https://www.soprasteria.nl/newsroom/press-releases/details/sopra-steria-next-predicts,wwwsoprasterianlnewsroompress-releasesdetailssopra-steria-next-predicts,The Technical Influencer,Press Release / Thought Leadership Insight Page  ,7.4,6.44,0.3,2025-06-22 12:43:24
ad80a76c,https://www.soprasteria.nl/,wwwsoprasterianl,The Technical Influencer,Corporate Homepage / Brand & Solutions Overview  ,7.4,6.44,0.2,2025-06-22 12:36:33
f52cdbdc,https://www.soprasteria.nl/newsroom/blog/details/interacting-with-large-language-models,wwwsoprasterianlnewsroomblogdetailsinteracting-with-large-language-models,The Technical Influencer,Thought Leadership Blog / Insights Content  ,6.8,6.08,0.5,2025-06-22 12:44:46
cded0b85,https://www.soprasteria.be/whatwedo/digital-themes/deliver-flexible-always-on-performance/cloud-infrastructure-platforms/sopra-steria-transformation-services-for-microsoft-azure,wwwsoprasteriabewhatwedodigital-themesdeliver-flexible-always-on-performancecloud-infrastructure-platformssopra-steria-transformation-services-for-microsoft-azure,The Technical Influencer,Service Offering / Solution Detail Page (B2B Technology Services)  ,7.6,6.56,0.2,2025-06-22 12:40:28
624753c4,https://www.soprasteria.be/industries/financial-services,wwwsoprasteriabeindustriesfinancial-services,The Technical Influencer,Industry Solutions Landing Page / B2B Sector-Focused Marketing  ,7.4,6.44,0.3,2025-06-22 12:41:44
2aa6d30b,https://www.soprasteria.com/about-us/corporate-responsibility,wwwsoprasteriacomabout-uscorporate-responsibility,The Technical Influencer,Corporate Brand / Corporate Responsibility Information Page  ,6.6,5.96,0.3,2025-06-22 12:38:30
