page,url,tier,final_score
wwwsoprasterianlnewsroomblogdetailsecosystems-yes-please-but-how-can-we-trust-each-other,https://www.soprasteria.nl/newsroom/blog/details/ecosystems-yes-please-but-how-can-we-trust-each-other,Thought Leadership Blog / Insights Page,7.2
wwwlinkedincomcompanysoprasteria-benelux,https://www.linkedin.com/company/soprasteria-benelux/,Corporate Social Media Profile Page (LinkedIn Company Page),0.0
wwwsoprasteriacom,https://www.soprasteria.com/,Corporate Homepage / B2B Technology Services Provider,7.0
wwwsoprasteriabewhatwedomanagement-digital-transformation-consultingservices-operations-automation,https://www.soprasteria.be/whatwedo/management-digital-transformation-consulting/services-operations-automation,Services Offering / Consulting Solutions Page,6.8
wwwsoprasterianlnewsroompress-releasesdetailswelcome-to-the-future-of-innovation,https://www.soprasteria.nl/newsroom/press-releases/details/welcome-to-the-future-of-innovation,Press Release / Corporate Newsroom Page,5.8
wwwnldigitalnlledensopra-steria-nederland-b-v,https://www.nldigital.nl/leden/sopra-steria-nederland-b-v/,Corporate Member Profile / Partner Showcase Page,5.8
wwwsoprasterianlnewsroomblog,https://www.soprasteria.nl/newsroom/blog,Thought Leadership / Insights Blog,7.2
wwwsoprasteriacomabout-ushistory,https://www.soprasteria.com/about-us/history,Corporate About Us / Brand History Page,6.6
wwwsoprasteriabe,https://www.soprasteria.be/,Corporate Homepage / Solutions Overview,7.4
wwwsoprasteriabewhatwedodata-aidata-science-and-aithe-future-of-generative-ai,https://www.soprasteria.be/whatwedo/data-ai/data-science-and-ai/the-future-of-generative-ai,Thought Leadership / Solutions Insight Page,7.2
wwwsoprasteriabeindustriesindustry-retail-logistics-telecom-media,https://www.soprasteria.be/industries/industry-retail-logistics-telecom-media,Industry Solutions / Sector Landing Page,7.2
wwwyoutubecomSopraSteria_Benelux,https://www.youtube.com/@SopraSteria_Benelux,YouTube Channel Landing Page (Redirect/Interstitial Cookie Consent Page),1.4
wwwsoprasterianlnewsroompress-releasesdetailssopra-steria-next-predicts,https://www.soprasteria.nl/newsroom/press-releases/details/sopra-steria-next-predicts,Press Release / Thought Leadership Insight Page,7.4
wwwsoprasterianl,https://www.soprasteria.nl/,Corporate Homepage / Brand & Solutions Overview,7.4
wwwsoprasterianlnewsroomblogdetailsinteracting-with-large-language-models,https://www.soprasteria.nl/newsroom/blog/details/interacting-with-large-language-models,Thought Leadership Blog / Insights Content,6.8
wwwsoprasteriabewhatwedodigital-themesdeliver-flexible-always-on-performancecloud-infrastructure-platformssopra-steria-transformation-services-for-microsoft-azure,https://www.soprasteria.be/whatwedo/digital-themes/deliver-flexible-always-on-performance/cloud-infrastructure-platforms/sopra-steria-transformation-services-for-microsoft-azure,Service Offering / Solution Detail Page (B2B Technology Services),7.6
wwwsoprasteriabeindustriesfinancial-services,https://www.soprasteria.be/industries/financial-services,Industry Solutions Landing Page / B2B Sector-Focused Marketing,7.4
wwwsoprasteriacomabout-uscorporate-responsibility,https://www.soprasteria.com/about-us/corporate-responsibility,Corporate Brand / Corporate Responsibility Information Page,6.6
