page,url,tier,final_score
wwwsoprasterianlnewsroomblogdetailsecosystems-yes-please-but-how-can-we-trust-each-other,https://www.soprasteria.nl/newsroom/blog/details/ecosystems-yes-please-but-how-can-we-trust-each-other,Thought Leadership Blog Post,7.4
wwwsoprasteriacom,https://www.soprasteria.com/,Corporate Website - Home Page,7.4
wwwsoprasteriabewhatwedomanagement-digital-transformation-consultingservices-operations-automation,https://www.soprasteria.be/whatwedo/management-digital-transformation-consulting/services-operations-automation,Services/Solutions Page,6.6
wwwsoprasterianlnewsroompress-releasesdetailswelcome-to-the-future-of-innovation,https://www.soprasteria.nl/newsroom/press-releases/details/welcome-to-the-future-of-innovation,Press Release,5.2
wwwsoprasterianlnewsroomblog,https://www.soprasteria.nl/newsroom/blog,Thought Leadership Blog,7.2
wwwsoprasteriacomabout-ushistory,https://www.soprasteria.com/about-us/history,About Us - History Page,6.4
wwwsoprasteriabe,https://www.soprasteria.be/,Corporate Website - Top Level,7.2
wwwsoprasteriabewhatwedodata-aidata-science-and-aithe-future-of-generative-ai,https://www.soprasteria.be/whatwedo/data-ai/data-science-and-ai/the-future-of-generative-ai,Thought Leadership Content Page,7.6
wwwsoprasteriabeindustriesindustry-retail-logistics-telecom-media,https://www.soprasteria.be/industries/industry-retail-logistics-telecom-media,Industry Solutions Page,7.4
wwwsoprasterianlnewsroompress-releasesdetailssopra-steria-next-predicts,https://www.soprasteria.nl/newsroom/press-releases/details/sopra-steria-next-predicts,Press Release,7.8
wwwsoprasterianl,https://www.soprasteria.nl/,Corporate Website - Top-level,7.2
wwwsoprasterianlnewsroomblogdetailsinteracting-with-large-language-models,https://www.soprasteria.nl/newsroom/blog/details/interacting-with-large-language-models,Thought Leadership Blog,7.8
wwwsoprasteriabewhatwedodigital-themesdeliver-flexible-always-on-performancecloud-infrastructure-platformssopra-steria-transformation-services-for-microsoft-azure,https://www.soprasteria.be/whatwedo/digital-themes/deliver-flexible-always-on-performance/cloud-infrastructure-platforms/sopra-steria-transformation-services-for-microsoft-azure,Service Offering Page,7.8
wwwsoprasteriabeindustriesfinancial-services,https://www.soprasteria.be/industries/financial-services,Industry Solutions Page,7.4
wwwsoprasteriacomabout-uscorporate-responsibility,https://www.soprasteria.com/about-us/corporate-responsibility,Corporate Responsibility Overview Page,7.4
