File,Size(KB),Lines,InlineStyles,CSSClasses,InlinePercent,Severity
AuditReports.tsx,17.1,493,6,41,12.8,GOOD
Methodology.tsx,18.6,496,5,40,11.1,GOOD
PersonaInsights.tsx,25.5,670,10,96,9.4,GOOD
ContentMatrix.tsx,31.9,892,13,149,8,GOOD
VisualBrandHygiene.tsx,58.7,1330,10,157,6,GOOD
StrategicRecommendations.tsx,33.5,913,11,178,5.8,GOOD
OpportunityImpact.tsx,24.3,735,5,100,4.8,GOOD
ExecutiveDashboard.tsx,17.4,431,3,88,3.3,GOOD
SocialMediaAnalysis.tsx,40.8,1112,2,258,0.8,GOOD
RunAudit.tsx,35.9,956,1,195,0.5,GOOD
DatasetDetail.tsx,1.3,45,0,0,0,GOOD
DatasetList.tsx,0.8,36,0,0,0,GOOD
PagesList.tsx,0.9,35,0,0,0,GOOD
PersonaViewer.tsx,59.2,1394,0,155,0,GOOD
Recommendations.tsx,16.8,526,0,56,0,GOOD
ReportsExport.tsx,34.0,861,0,99,0,GOOD
SuccessLibrary.tsx,23.0,645,0,101,0,GOOD
